dataset	kc_size	projection_size	trial	top	wta	mean	std
20news	1362	7	0	81	13	0.337960168980084	0
20news	4010	6	0	82	7	0.448098974049487	0
20news	4812	6	0	55	18	0.45956547978274	0
20news	3576	6	0	61	15	0.443874471937236	0
20news	2764	9	0	89	2	0.368436934218467	0
20news	5000	4	0	100	2	0.445383222691611	0
20news	4811	7	0	57	19	0.405250452625226	0
20news	2981	7	0	34	7	0.342788171394086	0
20news	4973	8	0	77	15	0.421846710923355	0
20news	3211	6	0	59	12	0.432709716354858	0
20news	4309	7	0	73	19	0.415811707905854	0
20news	4754	9	0	20	2	0.383524441762221	0
20news	4814	7	0	66	13	0.434520217260109	0
20news	4217	5	0	10	18	0.456849728424864	0
20news	2256	9	0	69	13	0.404043452021726	0
20news	811	8	0	32	14	0.246831623415812	0
20news	3209	5	0	58	11	0.445383222691611	0
20news	3210	7	0	63	9	0.431200965600483	0
20news	3209	4	0	64	12	0.445081472540736	0
20news	4213	8	0	10	16	0.444477972238986	0
20news	4813	7	0	52	18	0.407664453832227	0
20news	3574	5	0	57	15	0.445081472540736	0
20news	4806	5	0	54	15	0.45835847917924	0
20news	4804	9	0	54	12	0.414604707302354	0
20news	3522	6	0	65	19	0.373868436934218	0
20news	4810	5	0	59	13	0.457151478575739	0
20news	2935	7	0	31	9	0.416415208207604	0
20news	4153	6	0	81	18	0.461074230537115	0
20news	2987	10	0	60	10	0.366324683162342	0
20news	4085	10	0	57	3	0.416415208207604	0
20news	4759	5	0	68	6	0.46137598068799	0
20news	2128	10	0	54	17	0.384127942063971	0
20news	3373	7	0	54	5	0.334942667471334	0
20news	4755	7	0	69	5	0.38171394085697	0
20news	4153	7	0	84	16	0.454133977066989	0
20news	4772	4	0	21	5	0.474049487024744	0
20news	4808	5	0	52	14	0.373264936632468	0
20news	1882	8	0	76	12	0.372661436330718	0
20news	3593	4	0	45	14	0.434821967410984	0
20news	3125	9	0	54	6	0.425165962582981	0
20news	2830	9	0	93	12	0.429692214846107	0
20news	3055	8	0	33	11	0.337356668678334	0
20news	3379	8	0	19	8	0.427579963789982	0
20news	861	8	0	48	14	0.263729631864816	0
20news	4807	7	0	61	11	0.373264936632468	0
20news	4760	7	0	66	6	0.451116475558238	0
20news	4150	5	0	82	17	0.456547978273989	0
20news	4762	4	0	68	7	0.459867229933615	0
20news	4769	7	0	24	4	0.423355461677731	0
20news	4774	6	0	18	5	0.466203983101992	0
20news	4772	4	1	16	7	0.468919734459867	0
20news	4773	7	0	23	10	0.472238986119493	0
20news	4776	8	0	22	10	0.386240193120097	0
20news	4770	4	0	18	2	0.449909474954738	0
20news	4772	9	0	18	8	0.317742908871454	0
20news	4762	5	0	66	4	0.455944477972239	0
20news	4772	8	0	25	8	0.406759203379602	0
20news	4775	5	0	21	6	0.464996982498491	0
20news	4775	5	1	22	4	0.455039227519614	0
20news	4773	4	0	21	2	0.427278213639107	0
20news	4151	6	0	80	16	0.468014484007242	0
20news	4778	5	0	15	6	0.459867229933615	0
20news	4149	8	0	81	20	0.349124924562462	0
20news	4773	5	0	15	4	0.452021726010863	0
20news	4216	5	0	13	19	0.473445986722993	0
20news	4770	5	0	23	14	0.465902232951116	0
20news	4154	10	0	79	13	0.453228726614363	0
20news	4771	6	0	22	13	0.463789981894991	0
20news	4771	4	0	24	10	0.467410983705492	0
20news	4761	6	0	70	4	0.448400724200362	0
20news	4770	9	0	26	15	0.3983101991551	0
20news	4154	7	0	77	16	0.452926976463488	0
20news	4219	7	0	12	14	0.3995171997586	0
20news	4152	6	0	79	10	0.449004224502112	0
20news	4769	5	0	22	9	0.460470730235365	0
20news	4156	7	0	83	15	0.440856970428485	0
20news	4147	7	0	79	13	0.451116475558238	0
20news	4814	7	1	59	10	0.426976463488232	0
20news	4762	6	0	72	8	0.469221484610742	0
20news	4773	4	1	23	12	0.368436934218467	0
20news	4813	4	0	56	13	0.469824984912493	0
20news	4816	4	0	56	17	0.468919734459867	0
20news	4812	4	0	57	16	0.444779722389861	0
20news	4770	6	0	20	16	0.45896197948099	0
20news	4815	8	0	55	15	0.408267954133977	0
20news	4770	8	0	20	14	0.446891973445987	0
20news	4815	4	0	60	12	0.464996982498491	0
20news	4778	7	0	20	4	0.388955944477972	0
20news	4767	8	0	23	12	0.331925165962583	0
20news	4762	7	0	71	6	0.447193723596862	0
20news	4776	5	0	13	9	0.47857573928787	0
20news	4772	6	0	11	9	0.471031985515993	0
20news	4768	4	0	19	7	0.475558237779119	0
20news	4813	6	0	59	14	0.436028968014484	0
20news	4152	7	0	82	12	0.465902232951116	0
20news	4761	5	0	68	11	0.461677730838866	0
20news	4774	5	0	11	11	0.450512975256488	0
20news	4762	9	0	67	10	0.331019915509958	0
20news	4814	4	0	64	10	0.453228726614363	0
20news	4154	5	0	82	14	0.463186481593241	0
20news	4758	5	0	62	4	0.455642727821364	0
20news	4780	4	0	11	6	0.455340977670489	0
20news	4216	5	1	18	18	0.450814725407363	0
20news	4155	7	0	77	13	0.453228726614363	0
20news	4216	10	0	14	19	0.3983101991551	0
20news	4760	5	0	73	6	0.387748943874472	0
20news	4811	5	0	63	12	0.467410983705492	0
20news	4770	4	1	24	7	0.470730235365118	0
20news	4151	5	0	81	14	0.450814725407363	0
20news	4152	4	0	86	15	0.472842486421243	0
20news	4773	9	0	12	11	0.455642727821364	0
20news	4819	7	0	62	13	0.463789981894991	0
20news	4146	6	0	83	12	0.466505733252867	0
20news	4818	5	0	58	13	0.462582981291491	0
20news	4822	4	0	63	11	0.457453228726614	0
20news	4145	4	0	85	8	0.448702474351237	0
20news	4762	5	1	73	13	0.467712733856367	0
20news	4144	8	0	83	10	0.404345202172601	0
20news	4149	6	0	86	15	0.452021726010863	0
20news	4155	7	1	89	16	0.451719975859988	0
20news	4151	5	1	90	17	0.439649969824985	0
20news	4214	4	0	11	20	0.46016898008449	0
20news	4763	9	0	73	11	0.407362703681352	0
20news	4762	4	1	71	11	0.45956547978274	0
20news	4819	4	0	67	12	0.356366928183464	0
20news	4769	7	1	11	11	0.429692214846107	0
20news	4760	4	0	70	13	0.482800241400121	0
20news	4783	7	0	15	9	0.465298732649366	0
20news	4820	8	0	61	17	0.430597465298733	0
20news	4150	7	0	84	11	0.461979480989741	0
20news	4776	6	0	13	4	0.448702474351237	0
20news	4757	6	0	70	13	0.45775497887749	0
20news	4756	6	0	70	17	0.407664453832227	0
20news	4779	6	0	15	13	0.465298732649366	0
20news	4784	7	0	11	7	0.456849728424864	0
20news	4776	9	0	13	8	0.461074230537115	0
20news	4818	4	0	53	14	0.478877489438745	0
20news	4819	6	0	52	8	0.462582981291491	0
20news	4155	5	0	84	11	0.45775497887749	0
20news	4777	7	0	11	12	0.431502715751358	0
20news	4776	7	0	16	14	0.446891973445987	0
20news	4773	9	1	11	6	0.388050694025347	0
20news	4820	4	0	51	16	0.476765238382619	0
20news	4150	5	1	83	8	0.464091732045866	0
20news	4152	5	0	75	12	0.450512975256488	0
20news	4819	9	0	52	12	0.350935425467713	0
20news	4779	7	0	13	7	0.445684972842486	0
20news	4821	6	0	54	17	0.463488231744116	0
20news	4151	9	0	83	9	0.441762220881111	0
20news	4773	5	1	19	5	0.46137598068799	0
20news	4821	7	0	60	13	0.461677730838866	0
20news	4821	4	0	50	15	0.464393482196741	0
20news	4153	5	0	89	13	0.470428485214243	0
20news	4156	7	1	90	12	0.447495473747737	0
20news	4779	8	0	16	12	0.406457453228727	0
20news	4774	4	0	14	8	0.474049487024744	0
20news	4821	4	1	57	12	0.3983101991551	0
20news	4150	4	0	85	12	0.459263729631865	0
20news	4819	6	1	52	5	0.435123717561859	0
20news	4148	5	0	90	14	0.452926976463488	0
20news	4153	5	1	91	9	0.452021726010863	0
20news	4146	4	0	76	14	0.454435727217864	0
20news	4785	5	0	18	8	0.464695232347616	0
20news	4820	6	0	62	10	0.442063971031985	0
20news	4759	4	0	61	8	0.464695232347616	0
20news	4785	7	0	14	10	0.45956547978274	0
20news	4818	4	1	59	15	0.46137598068799	0
20news	4820	10	0	62	13	0.451719975859988	0
20news	4825	6	0	64	14	0.461677730838866	0
20news	4758	5	1	68	9	0.465902232951116	0
20news	4788	5	0	16	6	0.425467712733856	0
20news	4784	4	0	19	13	0.468919734459867	0
20news	4784	6	0	21	12	0.371454435727218	0
20news	4827	9	0	61	13	0.48159324079662	0
20news	4828	8	0	63	10	0.382920941460471	0
20news	4150	6	0	88	8	0.450512975256488	0
20news	4818	5	1	50	19	0.468617984308992	0
20news	4769	7	2	16	17	0.452021726010863	0
20news	4830	10	0	62	15	0.466203983101992	0
20news	4824	7	0	62	14	0.426674713337357	0
20news	4827	8	0	57	11	0.442365721182861	0
20news	4831	6	0	58	15	0.464695232347616	0
20news	4782	5	0	14	7	0.407060953530477	0
20news	4146	5	0	85	13	0.461677730838866	0
20news	4155	5	1	80	17	0.461677730838866	0
20news	4763	7	0	69	15	0.429088714544357	0
20news	4823	5	0	51	18	0.422148461074231	0
20news	4785	6	0	19	17	0.457151478575739	0
20news	4771	4	1	24	19	0.471333735666868	0
20news	4784	7	1	16	17	0.446288473144237	0
20news	4146	4	1	82	14	0.461677730838866	0
20news	4828	5	0	57	14	0.464091732045866	0
20news	4151	8	0	86	11	0.454133977066989	0
20news	4828	10	0	63	17	0.405250452625226	0
