dataset	kc_size	projection_size	trial	top	wta	mean	std
wikipedia	1362	7	0	81	13	0.653371242891958	0.048731281213981
wikipedia	4010	6	0	82	7	0.680259951259139	0.032100224820363
wikipedia	4812	6	0	55	18	0.691267262388302	0.023620117767879
wikipedia	3576	6	0	61	15	0.691510966693745	0.056001637398243
wikipedia	2764	9	0	89	2	0.639155158407799	0.048396665817762
wikipedia	3621	8	0	51	6	0.670430544272949	0.01734909176258
wikipedia	4811	7	0	57	19	0.712347684809098	0.03908705241758
wikipedia	3576	9	0	64	19	0.657676685621446	0.071087802796604
wikipedia	4812	9	0	53	18	0.669252640129976	0.0447563397437
wikipedia	4809	5	0	58	14	0.662916328188465	0.047349732010625
wikipedia	3574	8	0	63	12	0.668277822908205	0.058404578433848
wikipedia	4013	8	0	85	8	0.668155970755483	0.056883192881952
wikipedia	4810	10	0	57	17	0.612103980503656	0.096402860844941
wikipedia	3573	7	0	61	13	0.656823720552396	0.042362081937412
wikipedia	4809	6	0	53	17	0.669943135662063	0.045431665458701
wikipedia	3573	4	0	62	18	0.730666125101543	0.005398293330897
wikipedia	4008	7	0	79	5	0.682696994313566	0.066046614511342
wikipedia	4011	8	0	77	5	0.661494719740049	0.061916456293044
wikipedia	4805	4	0	55	19	0.715353371242892	0.029285556545252
wikipedia	4009	5	0	79	8	0.740129975629569	0.004020095217436
wikipedia	4007	5	0	82	3	0.709057676685621	0.027571575868679
wikipedia	3574	5	0	57	15	0.697156783103168	0.028492277184684
wikipedia	4806	5	0	54	15	0.698090982940699	0.052178022009201
wikipedia	3567	5	0	61	17	0.713688058489033	0.045264498479129
wikipedia	4006	7	0	76	7	0.701868399675061	0.048859691322477
wikipedia	4806	5	1	55	12	0.742282696994313	0.003715991230376
wikipedia	4808	6	0	51	7	0.681681559707555	0.030456159526665
wikipedia	3566	6	0	60	15	0.700487408610885	0.041258226429708
wikipedia	3567	6	0	59	16	0.714500406173842	0.026942953325922
wikipedia	4006	6	0	77	10	0.715475223395613	0.027353328010289
wikipedia	4002	7	0	81	10	0.708448415922015	0.069786363674574
wikipedia	4002	8	0	78	12	0.659626320064988	0.058555985463804
wikipedia	4000	9	0	84	9	0.660032493907392	0.049452395085833
wikipedia	3575	5	0	60	18	0.733346872461413	0.004607880682662
wikipedia	4806	5	2	55	9	0.720836718115353	0.048485078921191
wikipedia	4801	4	0	56	15	0.698172217709179	0.029596503015382
wikipedia	3568	4	0	57	19	0.735580828594638	0.008636329527854
wikipedia	4004	5	0	85	5	0.706011372867587	0.05002267922019
wikipedia	4013	6	0	79	14	0.659179528838343	0.083111485767094
wikipedia	4005	5	0	82	10	0.737652315190902	0.003222369369667
wikipedia	3572	7	0	55	17	0.719821283509342	0.048954750030722
wikipedia	3579	4	0	57	18	0.722623883021933	0.020458585746849
wikipedia	3578	5	0	54	17	0.695735174654752	0.045131269511044
wikipedia	4804	9	0	51	11	0.648131600324939	0.063517407813992
wikipedia	3579	4	1	61	19	0.718521527213647	0.031515268973693
wikipedia	4801	5	0	58	9	0.702030869212023	0.04808957640598
wikipedia	4004	7	0	81	5	0.726238830219334	0.02401171140295
wikipedia	3569	9	0	53	19	0.727619821283509	0.025068659960236
wikipedia	3574	5	1	58	20	0.721283509341998	0.026149079550852
wikipedia	3565	5	0	56	15	0.728188464662876	0.026401799657831
wikipedia	3555	7	0	58	15	0.696263200649878	0.036695643109243
wikipedia	3564	9	0	52	20	0.648984565393989	0.085257002185962
wikipedia	3571	8	0	50	14	0.657392363931763	0.060933116300556
wikipedia	4006	4	0	80	8	0.725385865150284	0.022268330423116
wikipedia	4008	4	0	74	11	0.719902518277823	0.024208233605671
wikipedia	3583	7	0	59	16	0.690333062550772	0.019397682255857
wikipedia	3999	7	0	75	4	0.689967506092608	0.021399079136718
wikipedia	3571	8	1	61	18	0.700121852152721	0.032703578208018
wikipedia	3573	9	0	54	19	0.696019496344435	0.042958601574833
wikipedia	3562	5	0	56	19	0.721933387489846	0.019336349328648
